Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin
0.0006263921;64.446;29.146;85.141
0.003340756;10.225;1.163;92.429
0.003271157;47.302;21.151;93.036
0.002644765;2.487;9.781;83.344
0.0006263921;12.631;14.272;54.134
0.003410355;85.820;9.737;83.057
0.003897549;9.106;5.485;82.374
0.001322383;6.319;21.838;92.922
0.0009743877;14.607;12.014;87.172
0.004454341;83.174;16.139;70.904
0.0006263921;13.354;6.210;76.629
0.002366369;2.332;8.900;92.790
0.005219931;6.159;21.151;97.048
0.005637525;13.354;5.347;92.790
0.0009047886;11.844;21.100;86.958
0.001809577;5.383;9.737;42.902
0.0004175947;81.932;1.163;97.866
0.001043987;3.910;9.737;30.031
0.0003479956;5.929;22.766;65.510
0.0007655903;10.225;16.097;83.057
6.959911E-05;4.739;17.152;71.729
0.0005567929;65.538;21.151;83.057
0.00229677;5.350;6.210;62.033
0.001809577;82.440;15.852;71.078
0.0002783964;19.304;21.100;92.828
0.002087973;2.540;19.866;85.242
0.005011133;4.739;6.210;64.128
0.004454341;8.753;8.011;66.019
0.001252784;3.448;14.376;56.367
0.001113586;3.910;39.761;97.900
0.001252784;16.378;1.163;97.866
0.0006263921;4.008;9.737;64.235
0.002714365;14.607;2.459;89.363
0.005219931;33.754;5.350;95.763
0.005637525;10.225;16.097;91.081
0.004593539;8.216;14.272;83.057
0.001531181;11.844;21.100;86.958
0.0009047886;32.041;2.459;75.270
0.009117494;11.844;21.100;64.768
0.001252784;3.394;39.344;87.172
0.00452394;88.088;16.097;92.191
6.959911E-05;14.607;29.146;71.356
0.003131959;27.852;1.602;71.729
0.0009743877;13.176;39.761;97.900
0.0001391982;85.362;5.485;47.830
0.0009047886;17.008;2.459;94.188
0.002783964;15.445;3.839;75.270
0.0009743877;38.253;29.146;89.000
0.005567926;14.607;7.827;97.048
0.005428728;10.225;16.097;83.057
0.004454341;88.088;16.097;92.191
0.001183185;3.448;71.216;85.141
0.001113586;5.187;57.856;89.363
0.001461582;2.811;8.744;81.592
0.001670379;3.394;14.013;86.958
0.001113586;5.383;51.119;58.852
0.006751115;7.237;5.485;86.834
0.001739978;4.739;17.152;71.729
0.0003479956;11.844;21.100;86.958
0.00160078;2.909;25.328;75.270
0.0006263921;10.826;29.146;71.729
0.006681516;7.643;6.210;76.280
0.0004871938;3.910;20.724;68.493
0.001043987;3.394;66.360;67.260
0.001391983;19.304;21.100;92.828
0.005289529;4.739;3.839;47.074
0.002087973;3.448;34.063;97.962
0.004454341;88.088;6.210;98.259
0.00452394;7.250;14.013;97.307
0.002157572;2.408;9.047;68.493
0.001670379;3.448;19.430;85.242
0.002087973;3.291;10.909;89.363
0.0006959912;8.216;49.184;87.172
0.0004175947;3.910;16.343;86.958
0.001461582;3.448;9.896;40.355
0.009813488;8.216;16.097;43.639
0.002366369;4.739;3.839;44.549
0.001252784;10.079;6.526;68.493
0.0009047886;17.008;2.459;94.188
0.0008351895;3.448;29.146;91.751
0.0008351895;14.607;29.146;68.493
0.0004871938;3.448;1.163;85.242
0.004106346;4.739;3.839;17.740
0.002227171;25.561;6.210;88.551
0.001391983;3.448;29.146;92.131
0.0006263921;3.448;8.900;82.196
0.0008351895;6.319;3.203;97.048
0.005011133;12.631;9.781;65.510
0.0004175947;2.487;9.781;84.116
0.001461582;8.216;90.939;71.729
0.001809577;3.448;40.219;92.429
0.001879176;2.811;8.744;89.000
0.001879176;82.093;5.350;95.763
0.0005567929;3.910;19.330;97.307
0.0006959912;3.910;44.102;87.172
6.959911E-05;68.714;9.737;83.057
0.001391983;54.491;3.839;53.226
0.001252784;3.394;14.013;86.958
0.0007655903;23.052;8.900;92.790
0.001391983;11.844;22.211;86.958
0.0003479956;33.754;5.350;17.441
0.001322383;8.216;14.272;83.057
0.003410355;4.074;39.344;40.565
0.001252784;8.207;1.163;97.900
0.002435968;8.753;11.746;64.235
0.001531181;3.448;36.776;85.141
0.0009047886;8.753;2.459;70.475
0.001391983;8.216;14.272;91.058
0.0007655903;6.319;21.151;85.480
0.002366369;24.724;71.216;86.958
0.00375835;12.631;10.655;86.958
0.002087973;6.656;23.965;97.048
0.002087973;11.844;21.100;86.958
0.0006263921;2.540;47.453;85.242
0.0007655903;12.631;9.737;93.036
0.001252784;4.074;39.344;40.565
0.0007655903;9.485;31.467;75.270
0.004106346;3.394;3.839;75.910
0.006681516;7.237;6.210;71.729
0.001043987;3.394;11.331;97.048
0.006333519;4.739;10.909;96.089
0.001809577;3.394;6.210;71.118
0.003201558;7.237;21.151;85.242
0.0001391982;2.408;9.047;68.493
0.0007655903;3.910;16.343;86.958
0.0004871938;3.394;39.344;87.172
0.001252784;3.910;9.737;30.031
0.006542317;6.159;14.013;40.809
0.003410355;70.905;9.737;71.729
0.0002087973;6.319;9.047;95.763
0.002923162;4.147;1.031;78.455
0.001183185;3.394;39.344;87.172
0.001322383;3.394;39.344;87.172
0.002644765;4.739;3.839;71.966
0.002227171;88.088;6.210;89.804
0.008630298;8.216;14.272;83.057
0.002992761;59.965;16.343;86.958
0.005428728;4.147;1.031;78.455
0.003410355;22.207;9.737;99.640
0.0003479956;3.291;12.539;87.945
0.001043987;14.607;16.632;40.355
0.002087973;85.362;2.969;71.729
